Country,Regulation Name,Regulatory Domain,Status,Effective Date,Compliance Deadline,Regulatory Authority,Summary,Key Obligations for US SaaS/AI/eSign Companies,Penalties,Extraterritorial Application to US Companies,Priority Score (1-10),Source URL
Australia,Privacy Act Reform - Tranche 1 (ADM Disclosure),Data Privacy,Enacted,December 10 2026,December 10 2026,Office of the Australian Information Commissioner (OAIC),"Privacy policies must disclose use of automated decision-making (ADM) that significantly affects individuals' rights or interests","Update privacy policies to disclose ADM use; implement transparency mechanisms for AI-driven decisions","Up to AU$50 million, 3x benefit obtained, or 30% of adjusted turnover",Yes - applies to any entity handling Australian personal information,9,https://www.minterellison.com/articles/privacy-and-other-legislation-amendment-act-2024-now-in-effect
Australia,Privacy Act Reform - Children's Online Privacy Code,Data Privacy,Pending,December 10 2026,December 10 2026,Office of the Australian Information Commissioner (OAIC),"OAIC required to develop and register code for strengthened privacy protections for children in digital environments","Implement age verification; enhanced consent mechanisms for minors; child-specific privacy notices","Up to AU$50 million, 3x benefit obtained, or 30% of adjusted turnover",Yes - applies to services accessible by Australian children,7,https://www.minterellison.com/articles/privacy-and-other-legislation-amendment-act-2024-now-in-effect
Australia,Online Safety Act - Phase 2 Codes,Online Safety/Content,Enacted,March 9 2026,March 9 2026,eSafety Commissioner,"Phase 2 Online Safety Codes addressing risks of access/exposure to adult content for social media services, apps, and designated internet services","Implement age assurance systems; content moderation policies; risk assessments for harmful content exposure","Civil penalty provisions; enforceable undertakings; injunctions",Yes - applies to services provided to Australians regardless of provider location,7,https://www.esafety.gov.au/newsroom/whats-on/online-safety-act
Australia,Cyber Security Act 2024 - IoT Standards,Cybersecurity,Enacted,March 4 2026,March 4 2026,Department of Home Affairs,"Mandatory security standards for IoT/smart devices supplied to critical infrastructure operators","Ensure IoT devices meet security standards; maintain supply chain security documentation",Administrative penalties,Yes - applies to devices supplied into Australian market,6,https://www.cisc.gov.au/legislation-regulation-and-compliance/cyber-security-legislative-reforms
Australia,SOCI Act - Data Storage Systems,Critical Infrastructure,Active,2024 (ongoing),Ongoing,Cyber and Infrastructure Security Centre,"Data storage systems forming part of primary CI assets subject to SOCI Act obligations including risk management programs","If providing cloud/data services to CI operators: implement risk management programs; incident reporting; audit compliance","Administrative penalties; government intervention powers",Yes - if providing services to Australian critical infrastructure,8,https://www.cisc.gov.au/resources-subsite/Documents/cisc-factsheet-soci-obligations.pdf
Australia,AI Safety Institute (AISI),AI Governance,Proposed,Early 2026,Voluntary,Digital Government / AISI,"Establishment of Australian AI Safety Institute to coordinate regulatory responses to AI issues across sectors","Voluntary engagement; monitor for binding standards development; coordinate with AISI on AI risk issues",None (voluntary initially),Yes - expected to influence AI compliance expectations,5,https://www.twobirds.com/en/insights/2025/australia/australian-government-to-establish-ai-safety-institute
Australia,Privacy Act Reform - Tranche 2,Data Privacy,Proposed,TBD (post-election),TBD,Office of the Australian Information Commissioner (OAIC),"Expected reforms: 'fair and reasonable' standard; potential removal of small business exemption; employee records reform; consent reforms","Prepare for broader obligations; potential removal of small business exemption; enhanced individual rights",Enhanced penalties expected,Yes - broad extraterritorial application expected,8,https://www.holdingredlich.com/the-privacy-law-reforms-finally-passed-in-2024-set-the-priorities-for-2025
Australia,Electronic Transactions Act 1999,eSignature,Active,1999 (ongoing),Ongoing,Attorney-General's Department,"Legal framework for electronic signatures; technology-neutral approach; permanent electronic execution under Corporations Act","Ensure e-signature solutions meet identification and intent requirements; maintain audit trails",N/A (enabling legislation),Yes - applies to transactions in Australia,5,https://www.ag.gov.au/legal-system/electronic-signatures-documents-and-transactions
Singapore,Cybersecurity Act 2024 Amendments - FDI Provisions,Cybersecurity,Pending,2026 (expected),TBD,Cyber Security Agency of Singapore (CSA),"Foundational Digital Infrastructure (FDI) provisions to regulate major cloud service providers and data centres","Cloud providers: adhere to cybersecurity codes; incident reporting; implement resilience standards","Up to SGD $500,000 or 10% annual Singapore turnover; daily fines up to SGD $5,000",Yes - applies to cloud providers serving Singapore market,10,https://www.csa.gov.sg/legislation/cybersecurity-act/
Singapore,Digital Infrastructure Act (DIA),Critical Infrastructure/Digital Services,Proposed,2026 (expected),TBD,Ministry of Digital Development and Information (MDDI),"New legislation to regulate systemically important digital infrastructure including cloud providers and data centres","Implement resilience and security standards; incident reporting; business continuity requirements",Expected significant penalties,Yes - applies to digital infrastructure serving Singapore,9,https://www.mddi.gov.sg/media-centre/press-releases/new-digital-infrastructure-act/
