Country,Legislation/Regulation,Category,Status,Effective Date,Compliance Deadline,Key Requirements,Relevance to Tech Companies (DocuSign),Penalties,Regulatory Body,Notes/Updates,Source
Singapore,Personal Data Protection Act (PDPA),Data Privacy,Active,2012 (Amended 2020-2021),Ongoing,"Mandatory breach notification within 72 hours; DPO appointment required; consent requirements for data collection, use, disclosure","High - Governs handling of customer data in e-signature transactions, contract management, and identity verification","Up to S$1 million or 10% of annual turnover in Singapore (whichever is higher)",Personal Data Protection Commission (PDPC),"250+ enforcement decisions; increased enforcement stance; new provisions on data portability pending implementation",https://www.pdpc.gov.sg/overview-of-pdpa/the-legislation/personal-data-protection-act
Singapore,PDPA Data Portability Provisions,Data Privacy,Pending Implementation,Passed (not yet in force),TBD,Mandatory obligation to provide individual's data to another organization in machine-readable format upon request,Medium - May require technical capability to export user data in standardized formats,Included in PDPA penalties,Personal Data Protection Commission (PDPC),Passed by Parliament but awaiting implementation date,https://practiceguides.chambers.com/practice-guides/data-protection-privacy-2025/singapore/trends-and-developments
Singapore,Cybersecurity Act 2018 (Amended 2024),Cybersecurity,Active,2018 (Amended 2024),"Ongoing; APT reporting from July 29, 2025","CII owners must comply with cybersecurity policies; conduct audits and risk assessments; incident reporting; APT activity reporting to CSA","Medium-High - If classified as CII or providing services to CII operators; general cybersecurity best practices applicable",Administrative penalties; potential criminal liability,Cyber Security Agency of Singapore (CSA),2024 amendments expanded obligations to new classes of persons; mandatory APT reporting from July 2025,https://iclg.com/practice-areas/cybersecurity-laws-and-regulations/singapore
Singapore,Electronic Transactions Act (ETA) 2010,Electronic Signatures,Active,2010 (Amended 2021),Ongoing,"Legal recognition of electronic signatures and records; secure e-signatures have same legal effect as handwritten signatures; MLETR adoption for electronic transferable records","Critical - Core legislation enabling DocuSign's business model; provides legal validity for electronic signatures in Singapore",N/A (enabling legislation),Infocomm Media Development Authority (IMDA),2021 amendments adopted UNCITRAL MLETR for electronic bills of lading and transferable documents,https://www.imda.gov.sg/regulations-and-licensing-listing/electronic-transactions-act-and-regulations
Singapore,Computer Misuse Act 1993,Cybersecurity,Active,1993,Ongoing,Offences for unauthorized access/modification of computer material; unauthorized use/interception of computer services,Medium - Relevant for security of cloud-based e-signature platforms,Criminal penalties,Singapore Police Force / Attorney-General's Chambers,Foundational cybercrime legislation,https://iclg.com/practice-areas/cybersecurity-laws-and-regulations/singapore
Singapore,AI Governance Framework,AI/Technology,Active (Voluntary),2019 (Model AI Governance Framework),Ongoing,Voluntary framework; AI Verify toolkit for testing accountability; sector-specific guidance (MAS Veritas Toolkit for finance),Medium - Applicable if using AI in document processing or verification; voluntary compliance encouraged,No statutory penalties (voluntary),PDPC / IMDA,Expanded Global AI Assurance Sandbox launched July 2025; Guidelines on Securing AI Systems (October 2024),https://practiceguides.chambers.com/practice-guides/data-protection-privacy-2025/singapore/trends-and-developments
Australia,Privacy Act 1988 (Tranche 1 Reforms),Data Privacy,Active,December 10 2024,Various (see notes),"Enhanced regulator powers; new tiered penalties and infringement notices; cyber security uplifts requiring reasonable security steps; emergency declarations; doxxing offences","High - Governs handling of personal information; applies to organizations with annual turnover > A$3 million",Significant civil penalties; criminal penalties for doxxing (up to 7 years imprisonment),Office of the Australian Information Commissioner (OAIC),Major reform passed December 2024; Tranche 2 expected post-2025 Federal election,https://www.ashurst.com/en/insights/australias-first-tranche-of-privacy-reforms-a-deep-dive-and-why-they-matter/
Australia,Privacy Act - Statutory Tort for Privacy Invasion,Data Privacy,Active,June 10 2025,June 10 2025,"Personal right of action for serious privacy invasions; covers intrusion upon seclusion and misuse of personal information",Medium - Creates new litigation risk for improper handling of personal data,Civil damages,Courts / OAIC,First time Australians have personal right to sue for privacy invasion,https://www.twobirds.com/en/insights/2025/australia/data-privacy-and-cyber-overview-australia
Australia,Privacy Act - ADM Disclosure Requirements,Data Privacy,Upcoming,December 10 2026,December 10 2026,"Privacy policies must disclose use of automated decision-making (ADM) that significantly affects individuals' rights or interests","High - If using AI/ML for document processing, verification, or decision support systems that affect individuals",OAIC enforcement powers,Office of the Australian Information Commissioner (OAIC),Update privacy policies before deadline,https://www.minterellison.com/articles/privacy-and-other-legislation-amendment-act-2024-now-in-effect
Australia,Children's Online Privacy Code,Data Privacy,Upcoming,Expected by December 10 2026,December 10 2026,"Strengthened privacy protections for children in digital environments; obligations for social media and designated internet services",Low-Medium - Depends on whether services are used by children or classified as designated internet services,OAIC enforcement,Office of the Australian Information Commissioner (OAIC),OAIC developing the Code,https://www.minterellison.com/articles/privacy-and-other-legislation-amendment-act-2024-now-in-effect
